SWIS_SBL_ID,PROP_CLASS,zcta,gfa,E_fleet_ev
50288903100000010100020000,484,13073,9764.0,0.038
50288902600000010180000000,592,13073,0.0,0.0
50288932100000040020000000,720,13073,2160.0,0.008
50288932100000030020000000,720,13073,0.0,0.0
50288922100000020010220000,546,13073,11040.0,0.043
50288901600000010320440000,695,13073,0.0,0.0
50288922100000010070010000,620,13073,13734.0,0.053
50288922100000010020000000,425,13073,1941.0,0.008
50288912100000010050000000,449,13073,784.0,0.003
50288922100000030050000000,822,13073,0.0,0.0
50288922100000030060000000,822,13073,0.0,0.0
50288901600000010040620000,449,13073,13774.0,0.053
50288901600000010040420000,440,13073,6400.0,0.025
50288901600000010040710000,720,13073,4192.0,0.016
50288901600000010040740000,720,13073,0.0,0.0
50288901600000010030020000,720,13073,0.0,0.0
50288901600000010030030000,720,13073,0.0,0.0
50288901600000010030010000,720,13073,0.0,0.0
50288901400000010330000000,620,13073,6610.0,0.026
50288902500000010040010000,682,13073,17320.0,0.067
50288902400000010120000000,695,13073,0.0,0.0
50288902300000010190010000,695,13073,0.0,0.0
50288903500000010250020000,442,13073,32400.0,0.126
50288903500000010270010099,837,13073,0.0,0.0
50288903100000010050000099,837,13073,0.0,0.0
50288903600000010430000000,695,13073,0.0,0.0
50288903600000010230000000,872,13073,0.0,0.0
50288903600000010210030000,620,13073,9856.0,0.038
50280130800000010020020000,485,13073,8736.0,0.034
50280130800000010030010000,455,13073,40940.0,0.159
50280130800000010010010000,715,13073,20285.0,0.079
50280100300000020050000000,695,13073,0.0,0.0
50280100300000020030010000,822,13073,0.0,0.0
50280100300000020040000000,822,13073,450.0,0.002
50280100400000020190000000,471,13073,4478.0,0.017
50280130800000010010030000,440,13073,33524.0,0.13
50280120800000020040120000,642,13073,10592.0,0.041
50280110800000020390020000,592,13073,0.0,0.0
50280101300000020010000000,620,13073,10939.0,0.042
50280100900000050100000000,620,13073,1458.0,0.006
50280110800000020060000000,592,13073,0.0,0.0
50280110800000020370000000,612,13073,99850.0,0.387
50280110800000020090000000,438,13073,0.0,0.0
50280100700000030020000000,438,13073,0.0,0.0
50280100500000040190010000,438,13073,0.0,0.0
50280100700000030030000000,620,13073,2722.0,0.011
50280100700000030210020000,471,13073,3504.0,0.014
50280100700000030220010000,457,13073,1992.0,0.008
50280100700000030240000000,433,13073,4412.0,0.017
50280100700000030230000000,485,13073,3532.0,0.014
50280100700000030010000000,484,13073,812.0,0.003
50280100700000020140000000,449,13073,3120.0,0.012
50280100700000020240000000,456,13073,8120.0,0.032
50280100700000020130120000,449,13073,2782.0,0.011
50280100700000020150000000,486,13073,5784.0,0.022
50280100700000020220010000,485,13073,9634.0,0.037
50280100700000020180000000,652,13073,15352.0,0.06
50280100700000040010000000,482,13073,4500.0,0.017
50280100700000040270000000,632,13073,5201.0,0.02
50280101000000040040000000,433,13073,4650.0,0.018
50280101000000040070000000,831,13073,0.0,0.0
50280101000000040050000000,484,13073,2442.0,0.009
50280100700000020250040000,633,13073,48020.0,0.186
50280101000000040020000000,465,13073,2347.0,0.009
50280100700000020130110000,423,13073,560.0,0.002
50280100700000020250030000,633,13073,34682.0,0.135
50280100700000020250010000,614,13073,14228.0,0.055
50280100700000020250020000,642,13073,13790.0,0.054
50280101000000020190000000,710,13073,13197.0,0.051
50280101100000010010020000,612,13073,141133.0,0.548
50280101000000040230010000,422,13073,1320.0,0.005
50280101000000040230020000,433,13073,2432.0,0.009
50280101000000040240000000,449,13073,1975.0,0.008
50280101000000040010010000,436,13073,1392.0,0.005
50280101100000020030010000,590,13073,0.0,0.0
50280100700000010010020000,554,13073,1060.0,0.004
50280100600000010320000000,651,13073,12470.0,0.048
50280100500000050240010000,450,13073,1200.0,0.005
50280100500000050210000000,438,13073,0.0,0.0
50280100500000050150000000,691,13073,2992.0,0.012
50280100500000050160000000,483,13073,1218.0,0.005
50280100500000050170010000,486,13073,1710.0,0.007
50280100500000050190000000,456,13073,7917.0,0.031
50280100500000050230000000,541,13073,8400.0,0.033
50280100500000050220000000,482,13073,4740.0,0.018
50280100500000040230000000,438,13073,0.0,0.0
50280100500000040240000000,461,13073,10214.0,0.04
50280100500000040290000000,485,13073,7000.0,0.027
50280100500000040030000000,611,13073,3225.0,0.013
50280100500000040330000000,438,13073,0.0,0.0
50280100500000040050220000,662,13073,2835.0,0.011
50280100500000040320020000,482,13073,5876.0,0.023
50280100500000040310000000,483,13073,5520.0,0.021
50280100500000040300000000,483,13073,2112.0,0.008
50280100500000050100000000,481,13073,3528.0,0.014
50280100500000050070000000,438,13073,0.0,0.0
50280100500000050130000000,483,13073,4364.0,0.017
50280100500000050110000000,483,13073,3808.0,0.015
50280100500000050040000000,481,13073,3600.0,0.014
50280100500000050030000099,837,13073,0.0,0.0
50280100500000050030000000,481,13073,6678.0,0.026
50280100500000050050000000,481,13073,5016.0,0.019
50280100500000050060020000,481,13073,1398.0,0.005
50280100500000050060010000,481,13073,1908.0,0.007
50280100500000040340000000,481,13073,2793.0,0.011
50280100500000040350000000,481,13073,2109.0,0.008
50280100500000040360000000,481,13073,799.0,0.003
50280100500000040010000000,483,13073,6984.0,0.027
50280100500000040020000000,652,13073,6797.0,0.026
50280100500000020110000000,484,13073,2442.0,0.009
50280100500000010090000000,483,13073,3070.0,0.012
50280100600000010310000000,652,13073,23840.0,0.093
50280100500000010020000000,444,13073,20445.0,0.079
50280100600000010010000000,720,13073,0.0,0.0
50280100200000020190020000,485,13073,2792.0,0.011
50280100100000020030030000,421,13073,6934.0,0.027
50280100200000010020000000,853,13073,1489.0,0.006
50280100200000020100010000,442,13073,3090.0,0.012
