scenario,year,five_year_intervals,county,subsector,value
reference,2012.0,2025,36109,phev_suv,4663.481033998003
reference,2012.0,2030,36109,bev_compact,832.7315722171359
reference,2012.0,2030,36109,bev_midsize,5140.041580481151
reference,2012.0,2030,36109,bev_pickup,2678.706678065182
reference,2012.0,2030,36109,bev_suv,9386.29709077316
reference,2012.0,2030,36109,phev_compact,1748.917990623713
reference,2012.0,2030,36109,phev_midsize,3648.855732882691
reference,2012.0,2030,36109,phev_pickup,2598.2185979284022
reference,2012.0,2030,36109,phev_suv,10089.137590141683
reference,2012.0,2035,36109,bev_compact,2469.5143003029993
reference,2012.0,2035,36109,bev_midsize,5414.165857493684
reference,2012.0,2035,36109,bev_pickup,4848.3237926280235
reference,2012.0,2035,36109,bev_suv,15829.618690398747
reference,2012.0,2035,36109,phev_compact,1905.0926766490581
reference,2012.0,2035,36109,phev_midsize,5437.764330971488
reference,2012.0,2035,36109,phev_pickup,5533.708138799408
reference,2012.0,2035,36109,phev_suv,10859.443809005574
reference,2012.0,2040,36109,bev_compact,3136.0516145464067
reference,2012.0,2040,36109,bev_midsize,8165.409682049008
reference,2012.0,2040,36109,bev_pickup,6570.466785931424
reference,2012.0,2040,36109,bev_suv,18577.195112807647
reference,2012.0,2040,36109,phev_compact,2177.2089736065677
reference,2012.0,2040,36109,phev_midsize,7051.794094877578
reference,2012.0,2040,36109,phev_pickup,7667.216107526789
reference,2012.0,2040,36109,phev_suv,15717.049372487138
reference,2012.0,2045,36109,bev_compact,4054.959718150034
reference,2012.0,2045,36109,bev_midsize,13300.29945729348
reference,2012.0,2045,36109,bev_pickup,10966.177824320415
reference,2012.0,2045,36109,bev_suv,31271.272435138035
reference,2012.0,2045,36109,phev_compact,2858.529745823836
reference,2012.0,2045,36109,phev_midsize,7965.535294051552
reference,2012.0,2045,36109,phev_pickup,6648.9687088918345
reference,2012.0,2045,36109,phev_suv,15798.730204210086
reference,2012.0,2050,36109,bev_compact,6828.512706565806
reference,2012.0,2050,36109,bev_midsize,15805.177390998764
reference,2012.0,2050,36109,bev_pickup,8153.861557680424
reference,2012.0,2050,36109,bev_suv,33848.900957568294
reference,2012.0,2050,36109,phev_compact,4322.731913843066
reference,2012.0,2050,36109,phev_midsize,9450.81787661066
reference,2012.0,2050,36109,phev_pickup,5370.110717931801
reference,2012.0,2050,36109,phev_suv,21117.77374416344
