dataset,port_type,day_type,hour,energy_share
palo_alto_public,L1,weekend,8,0.0176
palo_alto_public,L1,weekend,9,0.0327
palo_alto_public,L1,weekend,10,0.0378
palo_alto_public,L1,weekend,11,0.0399
palo_alto_public,L1,weekend,12,0.0495
palo_alto_public,L1,weekend,13,0.0748
palo_alto_public,L1,weekend,14,0.092
palo_alto_public,L1,weekend,15,0.1035
palo_alto_public,L1,weekend,16,0.0781
palo_alto_public,L1,weekend,17,0.0748
palo_alto_public,L1,weekend,18,0.0727
palo_alto_public,L1,weekend,19,0.078
palo_alto_public,L1,weekend,20,0.0709
palo_alto_public,L1,weekend,21,0.0543
palo_alto_public,L1,weekend,22,0.03
palo_alto_public,L1,weekend,23,0.0168
palo_alto_public,L2,weekday,0,0.0114
palo_alto_public,L2,weekday,1,0.0082
palo_alto_public,L2,weekday,2,0.0057
palo_alto_public,L2,weekday,3,0.0042
palo_alto_public,L2,weekday,4,0.0037
palo_alto_public,L2,weekday,5,0.0068
palo_alto_public,L2,weekday,6,0.0184
palo_alto_public,L2,weekday,7,0.0333
palo_alto_public,L2,weekday,8,0.0512
palo_alto_public,L2,weekday,9,0.0676
palo_alto_public,L2,weekday,10,0.0766
palo_alto_public,L2,weekday,11,0.0783
palo_alto_public,L2,weekday,12,0.0788
palo_alto_public,L2,weekday,13,0.0723
palo_alto_public,L2,weekday,14,0.0683
palo_alto_public,L2,weekday,15,0.0648
palo_alto_public,L2,weekday,16,0.0606
palo_alto_public,L2,weekday,17,0.0561
palo_alto_public,L2,weekday,18,0.0588
palo_alto_public,L2,weekday,19,0.0576
palo_alto_public,L2,weekday,20,0.0461
palo_alto_public,L2,weekday,21,0.0326
palo_alto_public,L2,weekday,22,0.0227
palo_alto_public,L2,weekday,23,0.0161
palo_alto_public,L2,weekend,0,0.015
palo_alto_public,L2,weekend,1,0.0118
palo_alto_public,L2,weekend,2,0.0092
palo_alto_public,L2,weekend,3,0.007
palo_alto_public,L2,weekend,4,0.0056
palo_alto_public,L2,weekend,5,0.0051
palo_alto_public,L2,weekend,6,0.0071
palo_alto_public,L2,weekend,7,0.0146
palo_alto_public,L2,weekend,8,0.0308
palo_alto_public,L2,weekend,9,0.049
palo_alto_public,L2,weekend,10,0.0628
palo_alto_public,L2,weekend,11,0.0718
palo_alto_public,L2,weekend,12,0.0787
palo_alto_public,L2,weekend,13,0.079
palo_alto_public,L2,weekend,14,0.0752
palo_alto_public,L2,weekend,15,0.0696
palo_alto_public,L2,weekend,16,0.0652
palo_alto_public,L2,weekend,17,0.0653
palo_alto_public,L2,weekend,18,0.0683
palo_alto_public,L2,weekend,19,0.0657
palo_alto_public,L2,weekend,20,0.0556
