source,dimension,level,indicator,n,k,share_unweighted,wilson95_lo,wilson95_hi,n_weighted,share_weighted,boot95_lo,boot95_hi,kish_n_eff,share_weighted_by_units,boot95_units_lo,boot95_units_hi
site_visits qwyr-7esw,own,Affordable census block/NOAH,svc_has_208V,80,16,0.2,0.127,0.3005,78,0.1523,0.0872,0.2262,60.9517,,,
site_visits qwyr-7esw,own,Affordable subsidized,sv_onsite_parking,135,96,0.7111,0.6297,0.7809,135,0.5516,0.4607,0.6562,100.1101,,,
site_visits qwyr-7esw,own,Affordable subsidized,sv_open_lot,135,88,0.6519,0.5683,0.727,135,0.5078,0.4097,0.6077,100.1101,,,
site_visits qwyr-7esw,own,Affordable subsidized,sv_covered_lot,135,6,0.0444,0.0205,0.0936,135,0.0219,0.0059,0.045,100.1101,,,
site_visits qwyr-7esw,own,Affordable subsidized,sv_garage,135,5,0.037,0.0159,0.0838,135,0.0381,0.0073,0.0821,100.1101,,,
site_visits qwyr-7esw,own,Affordable subsidized,sv_ev_plugin,135,1,0.0074,0.0013,0.0408,135,0.0056,0.0,0.0177,100.1101,,,
site_visits qwyr-7esw,own,Affordable subsidized,svc_has_208V,129,57,0.4419,0.3591,0.528,129,0.3183,0.2449,0.4091,95.4177,,,
site_visits qwyr-7esw,own,Co-op/condo,sv_onsite_parking,44,17,0.3864,0.2572,0.5338,43,0.3399,0.189,0.4974,35.3107,,,
site_visits qwyr-7esw,own,Co-op/condo,sv_open_lot,44,8,0.1818,0.0951,0.3196,43,0.1601,0.0577,0.2876,35.3107,,,
site_visits qwyr-7esw,own,Co-op/condo,sv_covered_lot,44,0,0.0,0.0,0.0803,43,0.0,0.0,0.0,35.3107,,,
site_visits qwyr-7esw,own,Co-op/condo,sv_garage,44,10,0.2273,0.1284,0.3699,43,0.1799,0.0656,0.3144,35.3107,,,
site_visits qwyr-7esw,own,Co-op/condo,sv_ev_plugin,44,0,0.0,0.0,0.0803,43,0.0,0.0,0.0,35.3107,,,
site_visits qwyr-7esw,own,Co-op/condo,svc_has_208V,42,9,0.2143,0.1171,0.3594,41,0.1343,0.045,0.2527,34.1552,,,
site_visits qwyr-7esw,own,Market-rate rental,sv_onsite_parking,151,85,0.5629,0.4832,0.6395,150,0.4419,0.3571,0.5347,114.4615,,,
site_visits qwyr-7esw,own,Market-rate rental,sv_open_lot,151,69,0.457,0.3796,0.5365,150,0.362,0.2802,0.4519,114.4615,,,
site_visits qwyr-7esw,own,Market-rate rental,sv_covered_lot,151,4,0.0265,0.0103,0.0661,150,0.0287,0.0044,0.0627,114.4615,,,
site_visits qwyr-7esw,own,Market-rate rental,sv_garage,151,17,0.1126,0.0715,0.1729,150,0.0869,0.0413,0.1367,114.4615,,,
site_visits qwyr-7esw,own,Market-rate rental,sv_ev_plugin,151,5,0.0331,0.0142,0.0752,150,0.0323,0.0046,0.0673,114.4615,,,
site_visits qwyr-7esw,own,Market-rate rental,svc_has_208V,144,36,0.25,0.1864,0.3266,143,0.2289,0.1561,0.3138,108.95,,,
site_visits qwyr-7esw,region,ConEd,sv_onsite_parking,180,49,0.2722,0.2125,0.3415,168,0.2121,0.144,0.2868,112.0906,,,
site_visits qwyr-7esw,region,ConEd,sv_open_lot,180,25,0.1389,0.0959,0.197,168,0.1072,0.0525,0.171,112.0906,,,
site_visits qwyr-7esw,region,ConEd,sv_covered_lot,180,2,0.0111,0.0031,0.0396,168,0.0108,0.0,0.0332,112.0906,,,
site_visits qwyr-7esw,region,ConEd,sv_garage,180,24,0.1333,0.0913,0.1907,168,0.1146,0.0655,0.1712,112.0906,,,
site_visits qwyr-7esw,region,ConEd,sv_ev_plugin,180,3,0.0167,0.0057,0.0478,168,0.0163,0.0,0.0407,112.0906,,,
site_visits qwyr-7esw,region,ConEd,svc_has_208V,169,46,0.2722,0.2107,0.3438,158,0.1609,0.1038,0.229,106.2409,,,
site_visits qwyr-7esw,region,PSEG-LI,sv_onsite_parking,57,45,0.7895,0.6671,0.8753,57,0.7318,0.5738,0.8698,36.467,,,
site_visits qwyr-7esw,region,PSEG-LI,sv_open_lot,57,39,0.6842,0.5552,0.79,57,0.6336,0.4795,0.7827,36.467,,,
site_visits qwyr-7esw,region,PSEG-LI,sv_covered_lot,57,5,0.0877,0.0381,0.1895,57,0.0818,0.0021,0.1928,36.467,,,
site_visits qwyr-7esw,region,PSEG-LI,sv_garage,57,5,0.0877,0.0381,0.1895,57,0.1324,0.0275,0.2572,36.467,,,
site_visits qwyr-7esw,region,PSEG-LI,sv_ev_plugin,57,0,0.0,0.0,0.0631,57,0.0,0.0,0.0,36.467,,,
site_visits qwyr-7esw,region,PSEG-LI,svc_has_208V,57,25,0.4386,0.3177,0.5672,57,0.448,0.2811,0.6071,36.467,,,
site_visits qwyr-7esw,region,CenHud+O&R,sv_onsite_parking,42,38,0.9048,0.7793,0.9623,42,0.863,0.7174,0.9705,32.1663,,,
site_visits qwyr-7esw,region,CenHud+O&R,sv_open_lot,42,36,0.8571,0.7216,0.9328,42,0.8251,0.6788,0.9437,32.1663,,,
site_visits qwyr-7esw,region,CenHud+O&R,sv_covered_lot,42,1,0.0238,0.0042,0.1232,42,0.0311,0.0,0.1026,32.1663,,,
site_visits qwyr-7esw,region,CenHud+O&R,sv_garage,42,2,0.0476,0.0132,0.1579,42,0.0135,0.0,0.0355,32.1663,,,
site_visits qwyr-7esw,region,CenHud+O&R,sv_ev_plugin,42,1,0.0238,0.0042,0.1232,42,0.0311,0.0,0.1034,32.1663,,,
site_visits qwyr-7esw,region,CenHud+O&R,svc_has_208V,38,6,0.1579,0.0744,0.3042,38,0.0689,0.0124,0.1635,29.3972,,,
site_visits qwyr-7esw,region,NationalGrid,sv_onsite_parking,81,63,0.7778,0.6758,0.8546,77,0.6891,0.5719,0.8069,57.6031,,,
site_visits qwyr-7esw,region,NationalGrid,sv_open_lot,81,59,0.7284,0.6228,0.8133,77,0.6317,0.5155,0.7631,57.6031,,,
site_visits qwyr-7esw,region,NationalGrid,sv_covered_lot,81,2,0.0247,0.0068,0.0856,77,0.0367,0.0,0.092,57.6031,,,
site_visits qwyr-7esw,region,NationalGrid,sv_garage,81,4,0.0494,0.0194,0.1202,77,0.056,0.0039,0.1166,57.6031,,,
site_visits qwyr-7esw,region,NationalGrid,sv_ev_plugin,81,0,0.0,0.0,0.0453,77,0.0,0.0,0.0,57.6031,,,
site_visits qwyr-7esw,region,NationalGrid,svc_has_208V,77,21,0.2727,0.1858,0.3812,73,0.2307,0.1353,0.3491,54.4371,,,
site_visits qwyr-7esw,region,NYSEG+RG&E,sv_onsite_parking,68,61,0.8971,0.8024,0.9492,65,0.942,0.8703,0.9965,51.2832,,,
site_visits qwyr-7esw,region,NYSEG+RG&E,sv_open_lot,68,58,0.8529,0.75,0.9181,65,0.8972,0.8142,0.9724,51.2832,,,
site_visits qwyr-7esw,region,NYSEG+RG&E,sv_covered_lot,68,2,0.0294,0.0081,0.101,65,0.008,0.0,0.0214,51.2832,,,
site_visits qwyr-7esw,region,NYSEG+RG&E,sv_garage,68,2,0.0294,0.0081,0.101,65,0.0408,0.0,0.1028,51.2832,,,
site_visits qwyr-7esw,region,NYSEG+RG&E,sv_ev_plugin,68,3,0.0441,0.0151,0.1219,65,0.0466,0.0,0.1115,51.2832,,,
site_visits qwyr-7esw,region,NYSEG+RG&E,svc_has_208V,67,23,0.3433,0.2409,0.4627,65,0.2643,0.1581,0.3839,51.2832,,,
site_visits qwyr-7esw,region,Upstate (NationalGrid+NYSEG+RG&E),sv_onsite_parking,149,124,0.8322,0.764,0.8837,142,0.8155,0.7406,0.8822,108.5244,,,
site_visits qwyr-7esw,region,Upstate (NationalGrid+NYSEG+RG&E),sv_open_lot,149,117,0.7852,0.7126,0.8436,142,0.7644,0.6875,0.8445,108.5244,,,
site_visits qwyr-7esw,region,Upstate (NationalGrid+NYSEG+RG&E),sv_covered_lot,149,4,0.0268,0.0105,0.067,142,0.0224,0.0019,0.0529,108.5244,,,
site_visits qwyr-7esw,region,Upstate (NationalGrid+NYSEG+RG&E),sv_garage,149,6,0.0403,0.0186,0.0851,142,0.0484,0.012,0.0957,108.5244,,,
site_visits qwyr-7esw,region,Upstate (NationalGrid+NYSEG+RG&E),sv_ev_plugin,149,3,0.0201,0.0069,0.0575,142,0.0233,0.0,0.0562,108.5244,,,
site_visits qwyr-7esw,region,Upstate (NationalGrid+NYSEG+RG&E),svc_has_208V,144,44,0.3056,0.2362,0.385,138,0.2481,0.1722,0.3353,105.2923,,,
site_visits qwyr-7esw,vintage,1940-1978,sv_onsite_parking,149,115,0.7718,0.6981,0.8319,143,0.784,0.6931,0.8707,91.1258,,,
site_visits qwyr-7esw,vintage,1940-1978,sv_open_lot,149,93,0.6242,0.5442,0.6979,143,0.6162,0.519,0.7057,91.1258,,,
site_visits qwyr-7esw,vintage,1940-1978,sv_covered_lot,149,8,0.0537,0.0275,0.1024,143,0.0655,0.0155,0.1284,91.1258,,,
site_visits qwyr-7esw,vintage,1940-1978,sv_garage,149,21,0.1409,0.0941,0.2059,143,0.1754,0.097,0.2612,91.1258,,,
site_visits qwyr-7esw,vintage,1940-1978,sv_ev_plugin,149,4,0.0268,0.0105,0.067,143,0.0465,0.0069,0.1039,91.1258,,,
site_visits qwyr-7esw,vintage,1940-1978,svc_has_208V,142,50,0.3521,0.2784,0.4336,136,0.2619,0.1827,0.3536,85.8068,,,
site_visits qwyr-7esw,vintage,1979-2006,sv_onsite_parking,58,48,0.8276,0.7109,0.9036,55,0.6243,0.4371,0.8466,23.5998,,,
site_visits qwyr-7esw,vintage,1979-2006,sv_open_lot,58,43,0.7414,0.6162,0.8365,55,0.4677,0.3084,0.6887,23.5998,,,
site_visits qwyr-7esw,vintage,1979-2006,sv_covered_lot,58,0,0.0,0.0,0.0621,55,0.0,0.0,0.0,23.5998,,,
site_visits qwyr-7esw,vintage,1979-2006,sv_garage,58,6,0.1034,0.0483,0.2079,55,0.1566,0.0083,0.3395,23.5998,,,
site_visits qwyr-7esw,vintage,1979-2006,sv_ev_plugin,58,0,0.0,0.0,0.0621,55,0.0,0.0,0.0,23.5998,,,
site_visits qwyr-7esw,vintage,1979-2006,svc_has_208V,57,20,0.3509,0.24,0.4806,54,0.1745,0.08,0.3091,22.8721,,,
site_visits qwyr-7esw,vintage,2007+,sv_onsite_parking,54,43,0.7963,0.671,0.8823,52,0.7189,0.5363,0.8956,28.3079,,,
site_visits qwyr-7esw,vintage,2007+,sv_open_lot,54,35,0.6481,0.5148,0.7618,52,0.5651,0.3904,0.75,28.3079,,,
site_visits qwyr-7esw,vintage,2007+,sv_covered_lot,54,4,0.0741,0.0292,0.1755,52,0.0375,0.004,0.102,28.3079,,,
site_visits qwyr-7esw,vintage,2007+,sv_garage,54,8,0.1481,0.077,0.266,52,0.1608,0.0553,0.3132,28.3079,,,
site_visits qwyr-7esw,vintage,2007+,sv_ev_plugin,54,2,0.037,0.0102,0.1254,52,0.0283,0.0,0.0871,28.3079,,,
site_visits qwyr-7esw,vintage,2007+,svc_has_208V,52,29,0.5577,0.4234,0.6841,50,0.4394,0.2658,0.6212,27.623,,,
site_visits qwyr-7esw,vintage,pre-1940,sv_onsite_parking,172,53,0.3081,0.244,0.3807,158,0.2064,0.1507,0.2714,110.5571,,,
site_visits qwyr-7esw,vintage,pre-1940,sv_open_lot,172,49,0.2849,0.2227,0.3565,158,0.1831,0.1297,0.2405,110.5571,,,
site_visits qwyr-7esw,vintage,pre-1940,sv_covered_lot,172,0,0.0,0.0,0.0218,158,0.0,0.0,0.0,110.5571,,,
site_visits qwyr-7esw,vintage,pre-1940,sv_garage,172,5,0.0291,0.0125,0.0662,158,0.029,0.0038,0.0635,110.5571,,,
site_visits qwyr-7esw,vintage,pre-1940,sv_ev_plugin,172,1,0.0058,0.001,0.0322,158,0.005,0.0,0.0165,110.5571,,,
site_visits qwyr-7esw,vintage,pre-1940,svc_has_208V,162,24,0.1481,0.1016,0.211,150,0.131,0.0763,0.1962,105.9707,,,
