scenario,year,metric,value,low,high,numerator,denominator,metric_label,source
slow,2045,new_share,0.4287,,,,,EV share of new light-duty additions (flow),inferred
slow,2050,fleet_share_pev,0.3721,0.2092,0.621,22160.6109,59554.0,EV stock (BEV + PHEV) / light-duty fleet,inferred
slow,2050,fleet_share_bev,0.351697,,,20944.9414,59554.0,BEV stock only / light-duty fleet,inferred
slow,2050,new_share,0.4954,,,,,EV share of new light-duty additions (flow),inferred
stall,2026,fleet_share_pev,0.0564,0.0555,0.0577,3359.979,59554.0,EV stock (BEV + PHEV) / light-duty fleet,inferred
stall,2026,fleet_share_bev,0.032509,,,1936.0341,59554.0,BEV stock only / light-duty fleet,inferred
stall,2026,new_share,0.1088,,,,,EV share of new light-duty additions (flow),inferred
stall,2030,fleet_share_pev,0.0798,0.0677,0.0968,4752.0962,59554.0,EV stock (BEV + PHEV) / light-duty fleet,inferred
stall,2030,fleet_share_bev,0.054485,,,3244.8133,59554.0,BEV stock only / light-duty fleet,inferred
stall,2030,new_share,0.1088,,,,,EV share of new light-duty additions (flow),inferred
stall,2035,fleet_share_pev,0.1347,0.0931,0.198,8020.0101,59554.0,EV stock (BEV + PHEV) / light-duty fleet,inferred
stall,2035,fleet_share_bev,0.11121,,,6622.9939,59554.0,BEV stock only / light-duty fleet,inferred
stall,2035,new_share,0.3043,,,,,EV share of new light-duty additions (flow),inferred
stall,2040,fleet_share_pev,0.2682,0.1526,0.4405,15974.9194,59554.0,EV stock (BEV + PHEV) / light-duty fleet,inferred
stall,2040,fleet_share_bev,0.243663,,,14511.1255,59554.0,BEV stock only / light-duty fleet,inferred
stall,2040,new_share,0.6104,,,,,EV share of new light-duty additions (flow),inferred
stall,2045,fleet_share_pev,0.4729,0.2565,0.7868,28165.7786,59554.0,EV stock (BEV + PHEV) / light-duty fleet,inferred
stall,2045,fleet_share_bev,0.443623,,,26419.5084,59554.0,BEV stock only / light-duty fleet,inferred
stall,2045,new_share,0.8488,,,,,EV share of new light-duty additions (flow),inferred
stall,2050,fleet_share_pev,0.6831,0.3803,0.99,40680.7461,59554.0,EV stock (BEV + PHEV) / light-duty fleet,inferred
stall,2050,fleet_share_bev,0.646637,,,38509.8059,59554.0,BEV stock only / light-duty fleet,inferred
stall,2050,new_share,0.9526,,,,,EV share of new light-duty additions (flow),inferred
policy,2026,fleet_share_pev,0.0564,0.0554,0.0577,3361.6218,59554.0,EV stock (BEV + PHEV) / light-duty fleet,inferred
policy,2026,fleet_share_bev,0.032519,,,1936.618,59554.0,BEV stock only / light-duty fleet,inferred
policy,2026,new_share,0.1088,,,,,EV share of new light-duty additions (flow),inferred
policy,2030,fleet_share_pev,0.1458,0.1055,0.1971,8685.503,59554.0,EV stock (BEV + PHEV) / light-duty fleet,inferred
policy,2030,fleet_share_bev,0.111772,,,6656.4843,59554.0,BEV stock only / light-duty fleet,inferred
policy,2030,new_share,0.5049,,,,,EV share of new light-duty additions (flow),inferred
policy,2035,fleet_share_pev,0.3931,0.2436,0.5822,23409.3763,59554.0,EV stock (BEV + PHEV) / light-duty fleet,inferred
policy,2035,fleet_share_bev,0.34659,,,20640.7921,59554.0,BEV stock only / light-duty fleet,inferred
policy,2035,new_share,1.0,,,,,EV share of new light-duty additions (flow),inferred
policy,2040,fleet_share_pev,0.6709,0.3968,0.99,39954.7205,59554.0,EV stock (BEV + PHEV) / light-duty fleet,inferred
policy,2040,fleet_share_bev,0.615979,,,36683.9996,59554.0,BEV stock only / light-duty fleet,inferred
policy,2040,new_share,1.0,,,,,EV share of new light-duty additions (flow),inferred
policy,2045,fleet_share_pev,0.875,0.5036,0.99,52106.808,59554.0,EV stock (BEV + PHEV) / light-duty fleet,inferred
policy,2045,fleet_share_bev,0.819351,,,48795.6281,59554.0,BEV stock only / light-duty fleet,inferred
policy,2045,new_share,1.0,,,,,EV share of new light-duty additions (flow),inferred
policy,2050,fleet_share_pev,0.971,0.5588,0.99,57824.6486,59554.0,EV stock (BEV + PHEV) / light-duty fleet,inferred
policy,2050,fleet_share_bev,0.917781,,,54657.5436,59554.0,BEV stock only / light-duty fleet,inferred
policy,2050,new_share,1.0,,,,,EV share of new light-duty additions (flow),inferred
trend,2026,hh_with_ev_share,0.0686,,,,43251.0,Dwelling units with at least one EV,inferred
trend,2030,hh_with_ev_share,0.1224,,,,43251.0,Dwelling units with at least one EV,inferred
trend,2035,hh_with_ev_share,0.2671,,,,43251.0,Dwelling units with at least one EV,inferred
trend,2040,hh_with_ev_share,0.477,,,,43251.0,Dwelling units with at least one EV,inferred
trend,2045,hh_with_ev_share,0.6443,,,,43251.0,Dwelling units with at least one EV,inferred
trend,2050,hh_with_ev_share,0.7407,,,,43251.0,Dwelling units with at least one EV,inferred
slow,2026,hh_with_ev_share,0.0686,,,,43251.0,Dwelling units with at least one EV,inferred
slow,2030,hh_with_ev_share,0.1072,,,,43251.0,Dwelling units with at least one EV,inferred
slow,2035,hh_with_ev_share,0.1713,,,,43251.0,Dwelling units with at least one EV,inferred
