year,date,geography,access,level,stations,ports,count_basis,source,evidence
2018,2018-12-31,New York State,all,L1,,53.0,stations|ports,AFDC stations/states?date= page (status E),B
2019,2019-12-31,New York State,all,L1,,25.0,stations|ports,AFDC stations/states?date= page (status E),B
2020,2020-12-31,New York State,all,L1,,21.0,stations|ports,AFDC stations/states?date= page (status E),B
2021,2021-12-31,New York State,all,L1,,42.0,stations|ports,AFDC stations/states?date= page (status E),B
2022,2022-12-31,New York State,all,L1,,41.0,stations|ports,AFDC stations/states?date= page (status E),B
2023,2023-12-31,New York State,all,L1,,38.0,stations|ports,AFDC stations/states?date= page (status E),B
2024,2024-12-31,New York State,all,L1,,40.0,stations|ports,AFDC stations/states?date= page (status E),B
2025,2025-12-31,New York State,all,L1,,57.0,stations|ports,AFDC stations/states?date= page (status E),B
2026,2026-09-01,New York State,all,L1,,46.0,stations|ports,AFDC stations/states?date= page (status E),B
2014,2014-12-31,New York State,all,L2,,917.0,stations|ports,AFDC stations/states?date= page (status E),B
2015,2015-12-31,New York State,all,L2,,1107.0,stations|ports,AFDC stations/states?date= page (status E),B
2016,2016-12-31,New York State,all,L2,,1458.0,stations|ports,AFDC stations/states?date= page (status E),B
2017,2017-12-31,New York State,all,L2,,1695.0,stations|ports,AFDC stations/states?date= page (status E),B
2018,2018-12-31,New York State,all,L2,,2189.0,stations|ports,AFDC stations/states?date= page (status E),B
2019,2019-12-31,New York State,all,L2,,4000.0,stations|ports,AFDC stations/states?date= page (status E),B
2020,2020-12-31,New York State,all,L2,,5456.0,stations|ports,AFDC stations/states?date= page (status E),B
2021,2021-12-31,New York State,all,L2,,6749.0,stations|ports,AFDC stations/states?date= page (status E),B
2022,2022-12-31,New York State,all,L2,,8330.0,stations|ports,AFDC stations/states?date= page (status E),B
2023,2023-12-31,New York State,all,L2,,9717.0,stations|ports,AFDC stations/states?date= page (status E),B
2024,2024-12-31,New York State,all,L2,,14773.0,stations|ports,AFDC stations/states?date= page (status E),B
2025,2025-12-31,New York State,all,L2,,16966.0,stations|ports,AFDC stations/states?date= page (status E),B
2026,2026-09-01,New York State,all,L2,,19465.0,stations|ports,AFDC stations/states?date= page (status E),B
2014,2014-12-31,New York State,all,all,503.0,1072.0,stations|ports,AFDC stations/states?date= page (status E),B
2015,2015-12-31,New York State,all,all,603.0,1281.0,stations|ports,AFDC stations/states?date= page (status E),B
2016,2016-12-31,New York State,all,all,862.0,1677.0,stations|ports,AFDC stations/states?date= page (status E),B
2017,2017-12-31,New York State,all,all,954.0,1952.0,stations|ports,AFDC stations/states?date= page (status E),B
2018,2018-12-31,New York State,all,all,1157.0,2562.0,stations|ports,AFDC stations/states?date= page (status E),B
2019,2019-12-31,New York State,all,all,1655.0,4531.0,stations|ports,AFDC stations/states?date= page (status E),B
2020,2020-12-31,New York State,all,all,2036.0,6134.0,stations|ports,AFDC stations/states?date= page (status E),B
2021,2021-12-31,New York State,all,all,2983.0,7646.0,stations|ports,AFDC stations/states?date= page (status E),B
2022,2022-12-31,New York State,all,all,3326.0,9535.0,stations|ports,AFDC stations/states?date= page (status E),B
2023,2023-12-31,New York State,all,all,3898.0,11114.0,stations|ports,AFDC stations/states?date= page (status E),B
2024,2024-12-31,New York State,all,all,4777.0,16839.0,stations|ports,AFDC stations/states?date= page (status E),B
2025,2025-12-31,New York State,all,all,5331.0,19882.0,stations|ports,AFDC stations/states?date= page (status E),B
2026,2026-09-01,New York State,all,all,5791.0,22887.0,stations|ports,AFDC stations/states?date= page (status E),B
2014,2014-12-31,New York State,private,DCFC,,0.0,stations|ports,AFDC stations/states?date= page (status E),B
2015,2015-12-31,New York State,private,DCFC,,0.0,stations|ports,AFDC stations/states?date= page (status E),B
2016,2016-12-31,New York State,private,DCFC,,0.0,stations|ports,AFDC stations/states?date= page (status E),B
2017,2017-12-31,New York State,private,DCFC,,0.0,stations|ports,AFDC stations/states?date= page (status E),B
2018,2018-12-31,New York State,private,DCFC,,1.0,stations|ports,AFDC stations/states?date= page (status E),B
2019,2019-12-31,New York State,private,DCFC,,1.0,stations|ports,AFDC stations/states?date= page (status E),B
2020,2020-12-31,New York State,private,DCFC,,19.0,stations|ports,AFDC stations/states?date= page (status E),B
2021,2021-12-31,New York State,private,DCFC,,17.0,stations|ports,AFDC stations/states?date= page (status E),B
2022,2022-12-31,New York State,private,DCFC,,17.0,stations|ports,AFDC stations/states?date= page (status E),B
2023,2023-12-31,New York State,private,DCFC,,35.0,stations|ports,AFDC stations/states?date= page (status E),B
2024,2024-12-31,New York State,private,DCFC,,39.0,stations|ports,AFDC stations/states?date= page (status E),B
2025,2025-12-31,New York State,private,DCFC,,44.0,stations|ports,AFDC stations/states?date= page (status E),B
2026,2026-09-01,New York State,private,DCFC,,31.0,stations|ports,AFDC stations/states?date= page (status E),B
2014,2014-12-31,New York State,private,L1,,14.0,stations|ports,AFDC stations/states?date= page (status E),B
2015,2015-12-31,New York State,private,L1,,11.0,stations|ports,AFDC stations/states?date= page (status E),B
2016,2016-12-31,New York State,private,L1,,15.0,stations|ports,AFDC stations/states?date= page (status E),B
2017,2017-12-31,New York State,private,L1,,15.0,stations|ports,AFDC stations/states?date= page (status E),B
2018,2018-12-31,New York State,private,L1,,13.0,stations|ports,AFDC stations/states?date= page (status E),B
2019,2019-12-31,New York State,private,L1,,12.0,stations|ports,AFDC stations/states?date= page (status E),B
2020,2020-12-31,New York State,private,L1,,15.0,stations|ports,AFDC stations/states?date= page (status E),B
2021,2021-12-31,New York State,private,L1,,27.0,stations|ports,AFDC stations/states?date= page (status E),B
2022,2022-12-31,New York State,private,L1,,26.0,stations|ports,AFDC stations/states?date= page (status E),B
2023,2023-12-31,New York State,private,L1,,31.0,stations|ports,AFDC stations/states?date= page (status E),B
2024,2024-12-31,New York State,private,L1,,29.0,stations|ports,AFDC stations/states?date= page (status E),B
2025,2025-12-31,New York State,private,L1,,46.0,stations|ports,AFDC stations/states?date= page (status E),B
2026,2026-09-01,New York State,private,L1,,35.0,stations|ports,AFDC stations/states?date= page (status E),B
2014,2014-12-31,New York State,private,L2,,120.0,stations|ports,AFDC stations/states?date= page (status E),B
2015,2015-12-31,New York State,private,L2,,126.0,stations|ports,AFDC stations/states?date= page (status E),B
2016,2016-12-31,New York State,private,L2,,145.0,stations|ports,AFDC stations/states?date= page (status E),B
2017,2017-12-31,New York State,private,L2,,106.0,stations|ports,AFDC stations/states?date= page (status E),B
