dataset,port_type,day_type,hour,share
norway_residential_7kW,L2_home,weekday,6,0.0038
norway_residential_7kW,L2_home,weekday,7,0.0086
norway_residential_7kW,L2_home,weekday,8,0.0146
norway_residential_7kW,L2_home,weekday,9,0.0152
norway_residential_7kW,L2_home,weekday,10,0.0186
norway_residential_7kW,L2_home,weekday,11,0.0248
norway_residential_7kW,L2_home,weekday,12,0.0299
norway_residential_7kW,L2_home,weekday,13,0.036
norway_residential_7kW,L2_home,weekday,14,0.0596
norway_residential_7kW,L2_home,weekday,15,0.0961
norway_residential_7kW,L2_home,weekday,16,0.1249
norway_residential_7kW,L2_home,weekday,17,0.0888
norway_residential_7kW,L2_home,weekday,18,0.0772
norway_residential_7kW,L2_home,weekday,19,0.0842
norway_residential_7kW,L2_home,weekday,20,0.0895
norway_residential_7kW,L2_home,weekday,21,0.0776
norway_residential_7kW,L2_home,weekday,22,0.0634
norway_residential_7kW,L2_home,weekday,23,0.036
norway_residential_7kW,L2_home,weekend,0,0.0319
norway_residential_7kW,L2_home,weekend,1,0.0165
norway_residential_7kW,L2_home,weekend,2,0.0107
norway_residential_7kW,L2_home,weekend,3,0.0122
norway_residential_7kW,L2_home,weekend,4,0.012
norway_residential_7kW,L2_home,weekend,5,0.005
norway_residential_7kW,L2_home,weekend,6,0.0039
norway_residential_7kW,L2_home,weekend,7,0.0069
norway_residential_7kW,L2_home,weekend,8,0.0117
norway_residential_7kW,L2_home,weekend,9,0.0131
norway_residential_7kW,L2_home,weekend,10,0.0243
norway_residential_7kW,L2_home,weekend,11,0.0365
norway_residential_7kW,L2_home,weekend,12,0.0503
norway_residential_7kW,L2_home,weekend,13,0.0588
norway_residential_7kW,L2_home,weekend,14,0.0681
norway_residential_7kW,L2_home,weekend,15,0.0835
norway_residential_7kW,L2_home,weekend,16,0.0825
norway_residential_7kW,L2_home,weekend,17,0.0834
norway_residential_7kW,L2_home,weekend,18,0.0862
norway_residential_7kW,L2_home,weekend,19,0.0834
norway_residential_7kW,L2_home,weekend,20,0.0703
norway_residential_7kW,L2_home,weekend,21,0.0587
norway_residential_7kW,L2_home,weekend,22,0.0571
norway_residential_7kW,L2_home,weekend,23,0.0328
norway_residential,L2_home,weekday,0,0.0162
norway_residential,L2_home,weekday,1,0.0091
norway_residential,L2_home,weekday,2,0.0062
norway_residential,L2_home,weekday,3,0.0077
norway_residential,L2_home,weekday,4,0.0089
norway_residential,L2_home,weekday,5,0.0031
norway_residential,L2_home,weekday,6,0.0038
norway_residential,L2_home,weekday,7,0.0086
norway_residential,L2_home,weekday,8,0.0146
norway_residential,L2_home,weekday,9,0.0152
norway_residential,L2_home,weekday,10,0.0186
norway_residential,L2_home,weekday,11,0.0248
norway_residential,L2_home,weekday,12,0.0299
norway_residential,L2_home,weekday,13,0.036
norway_residential,L2_home,weekday,14,0.0596
norway_residential,L2_home,weekday,15,0.0961
norway_residential,L2_home,weekday,16,0.1249
norway_residential,L2_home,weekday,17,0.0888
norway_residential,L2_home,weekday,18,0.0772
norway_residential,L2_home,weekday,19,0.0842
norway_residential,L2_home,weekday,20,0.0895
norway_residential,L2_home,weekday,21,0.0776
norway_residential,L2_home,weekday,22,0.0634
norway_residential,L2_home,weekday,23,0.036
norway_residential,L2_home,weekend,0,0.0319
norway_residential,L2_home,weekend,1,0.0165
norway_residential,L2_home,weekend,2,0.0107
norway_residential,L2_home,weekend,3,0.0122
norway_residential,L2_home,weekend,4,0.012
norway_residential,L2_home,weekend,5,0.005
norway_residential,L2_home,weekend,6,0.0039
norway_residential,L2_home,weekend,7,0.0069
norway_residential,L2_home,weekend,8,0.0117
norway_residential,L2_home,weekend,9,0.0131
norway_residential,L2_home,weekend,10,0.0243
norway_residential,L2_home,weekend,11,0.0365
norway_residential,L2_home,weekend,12,0.0503
norway_residential,L2_home,weekend,13,0.0588
norway_residential,L2_home,weekend,14,0.0681
norway_residential,L2_home,weekend,15,0.0835
norway_residential,L2_home,weekend,16,0.0825
norway_residential,L2_home,weekend,17,0.0834
norway_residential,L2_home,weekend,18,0.0862
norway_residential,L2_home,weekend,19,0.0834
norway_residential,L2_home,weekend,20,0.0703
norway_residential,L2_home,weekend,21,0.0587
norway_residential,L2_home,weekend,22,0.0571
norway_residential,L2_home,weekend,23,0.0328
palo_alto_public,L1,weekday,0,0.0
palo_alto_public,L1,weekday,1,0.0
palo_alto_public,L1,weekday,2,0.0
palo_alto_public,L1,weekday,3,0.0
palo_alto_public,L1,weekday,4,0.0
palo_alto_public,L1,weekday,5,0.0
palo_alto_public,L1,weekday,6,0.0361
palo_alto_public,L1,weekday,7,0.0753
palo_alto_public,L1,weekday,8,0.1983
palo_alto_public,L1,weekday,9,0.1561
palo_alto_public,L1,weekday,10,0.0796
palo_alto_public,L1,weekday,11,0.0707
palo_alto_public,L1,weekday,12,0.0951
palo_alto_public,L1,weekday,13,0.0531
palo_alto_public,L1,weekday,14,0.0468
