source,day_type,hour,energy_share
A_base_high,weekday,18,0.0708
A_base_high,weekday,19,0.0681
A_base_high,weekday,20,0.0665
A_base_high,weekday,21,0.0654
A_base_high,weekday,22,0.063
A_base_high,weekday,23,0.0578
A_base_high,weekend,0,0.0498
A_base_high,weekend,1,0.0461
A_base_high,weekend,2,0.0411
A_base_high,weekend,3,0.0345
A_base_high,weekend,4,0.0309
A_base_high,weekend,5,0.0273
A_base_high,weekend,6,0.0221
A_base_high,weekend,7,0.018
A_base_high,weekend,8,0.0178
A_base_high,weekend,9,0.0197
A_base_high,weekend,10,0.0228
A_base_high,weekend,11,0.0276
A_base_high,weekend,12,0.0324
A_base_high,weekend,13,0.0376
A_base_high,weekend,14,0.0424
A_base_high,weekend,15,0.0482
A_base_high,weekend,16,0.0531
A_base_high,weekend,17,0.0574
A_base_high,weekend,18,0.0624
A_base_high,weekend,19,0.065
A_base_high,weekend,20,0.066
A_base_high,weekend,21,0.0634
A_base_high,weekend,22,0.0596
A_base_high,weekend,23,0.0548
TEMPO_reference,weekday,0,0.0303
TEMPO_reference,weekday,1,0.0184
TEMPO_reference,weekday,2,0.0114
TEMPO_reference,weekday,3,0.007
TEMPO_reference,weekday,4,0.0124
TEMPO_reference,weekday,5,0.0184
TEMPO_reference,weekday,6,0.0362
TEMPO_reference,weekday,7,0.0491
TEMPO_reference,weekday,8,0.058
TEMPO_reference,weekday,9,0.0517
TEMPO_reference,weekday,10,0.049
TEMPO_reference,weekday,11,0.0471
TEMPO_reference,weekday,12,0.0469
TEMPO_reference,weekday,13,0.0538
TEMPO_reference,weekday,14,0.0586
TEMPO_reference,weekday,15,0.0576
TEMPO_reference,weekday,16,0.0603
TEMPO_reference,weekday,17,0.067
TEMPO_reference,weekday,18,0.0768
TEMPO_reference,weekday,19,0.0592
TEMPO_reference,weekday,20,0.0462
TEMPO_reference,weekday,21,0.0378
TEMPO_reference,weekday,22,0.0263
TEMPO_reference,weekday,23,0.0205
TEMPO_reference,weekend,0,0.0126
TEMPO_reference,weekend,1,0.0098
TEMPO_reference,weekend,2,0.0101
TEMPO_reference,weekend,3,0.0084
TEMPO_reference,weekend,4,0.012
TEMPO_reference,weekend,5,0.0121
TEMPO_reference,weekend,6,0.0145
TEMPO_reference,weekend,7,0.0237
TEMPO_reference,weekend,8,0.0328
TEMPO_reference,weekend,9,0.0472
TEMPO_reference,weekend,10,0.0582
TEMPO_reference,weekend,11,0.0636
TEMPO_reference,weekend,12,0.0636
TEMPO_reference,weekend,13,0.0695
TEMPO_reference,weekend,14,0.0716
TEMPO_reference,weekend,15,0.0613
TEMPO_reference,weekend,16,0.0623
TEMPO_reference,weekend,17,0.0616
TEMPO_reference,weekend,18,0.0666
TEMPO_reference,weekend,19,0.0553
TEMPO_reference,weekend,20,0.0439
TEMPO_reference,weekend,21,0.0395
TEMPO_reference,weekend,22,0.0358
TEMPO_reference,weekend,23,0.0642
TEMPO_efs_high_ldv,weekday,0,0.0312
TEMPO_efs_high_ldv,weekday,1,0.0232
TEMPO_efs_high_ldv,weekday,2,0.0196
TEMPO_efs_high_ldv,weekday,3,0.0131
TEMPO_efs_high_ldv,weekday,4,0.0143
TEMPO_efs_high_ldv,weekday,5,0.0202
TEMPO_efs_high_ldv,weekday,6,0.0398
TEMPO_efs_high_ldv,weekday,7,0.0546
TEMPO_efs_high_ldv,weekday,8,0.0586
TEMPO_efs_high_ldv,weekday,9,0.0511
TEMPO_efs_high_ldv,weekday,10,0.0434
TEMPO_efs_high_ldv,weekday,11,0.0455
TEMPO_efs_high_ldv,weekday,12,0.0443
TEMPO_efs_high_ldv,weekday,13,0.0517
TEMPO_efs_high_ldv,weekday,14,0.0535
TEMPO_efs_high_ldv,weekday,15,0.0482
TEMPO_efs_high_ldv,weekday,16,0.0604
TEMPO_efs_high_ldv,weekday,17,0.0672
TEMPO_efs_high_ldv,weekday,18,0.0646
TEMPO_efs_high_ldv,weekday,19,0.0495
TEMPO_efs_high_ldv,weekday,20,0.0434
TEMPO_efs_high_ldv,weekday,21,0.0405
TEMPO_efs_high_ldv,weekday,22,0.0375
TEMPO_efs_high_ldv,weekday,23,0.0244
TEMPO_efs_high_ldv,weekend,0,0.0222
