year,geography,access,metric,historical_snapshot,open_date_curve,open_date_basis,difference,ratio_open_date_to_snapshot,evidence
2020,New York State,public,L2 ports,4904.0,2414,data/raw/afdc/afdc_elec_ny_all_status.json status E; 0 stations lack open_date,-2490.0,0.49225122349102773,D
2020,New York State,public,DCFC ports,638.0,573,data/raw/afdc/afdc_elec_ny_all_status.json status E; 0 stations lack open_date,-65.0,0.8981191222570533,D
2014,New York State,private,stations,82.0,37,data/raw/afdc/afdc_elec_ny_all_status.json status E; 2 stations lack open_date,-45.0,0.45121951219512196,D
2014,New York State,private,L2 ports,120.0,44,data/raw/afdc/afdc_elec_ny_all_status.json status E; 2 stations lack open_date,-76.0,0.36666666666666664,D
2014,New York State,private,DCFC ports,0.0,0,data/raw/afdc/afdc_elec_ny_all_status.json status E; 2 stations lack open_date,0.0,,D
2015,New York State,private,stations,81.0,38,data/raw/afdc/afdc_elec_ny_all_status.json status E; 2 stations lack open_date,-43.0,0.4691358024691358,D
2015,New York State,private,L2 ports,126.0,51,data/raw/afdc/afdc_elec_ny_all_status.json status E; 2 stations lack open_date,-75.0,0.40476190476190477,D
2015,New York State,private,DCFC ports,0.0,0,data/raw/afdc/afdc_elec_ny_all_status.json status E; 2 stations lack open_date,0.0,,D
2016,New York State,private,stations,112.0,43,data/raw/afdc/afdc_elec_ny_all_status.json status E; 2 stations lack open_date,-69.0,0.38392857142857145,D
2016,New York State,private,L2 ports,145.0,60,data/raw/afdc/afdc_elec_ny_all_status.json status E; 2 stations lack open_date,-85.0,0.41379310344827586,D
2016,New York State,private,DCFC ports,0.0,0,data/raw/afdc/afdc_elec_ny_all_status.json status E; 2 stations lack open_date,0.0,,D
2017,New York State,private,stations,87.0,43,data/raw/afdc/afdc_elec_ny_all_status.json status E; 2 stations lack open_date,-44.0,0.4942528735632184,D
2017,New York State,private,L2 ports,106.0,60,data/raw/afdc/afdc_elec_ny_all_status.json status E; 2 stations lack open_date,-46.0,0.5660377358490566,D
2017,New York State,private,DCFC ports,0.0,0,data/raw/afdc/afdc_elec_ny_all_status.json status E; 2 stations lack open_date,0.0,,D
2018,New York State,private,stations,94.0,49,data/raw/afdc/afdc_elec_ny_all_status.json status E; 2 stations lack open_date,-45.0,0.5212765957446809,D
2018,New York State,private,L2 ports,143.0,100,data/raw/afdc/afdc_elec_ny_all_status.json status E; 2 stations lack open_date,-43.0,0.6993006993006993,D
2018,New York State,private,DCFC ports,1.0,0,data/raw/afdc/afdc_elec_ny_all_status.json status E; 2 stations lack open_date,-1.0,0.0,D
2019,New York State,private,stations,99.0,85,data/raw/afdc/afdc_elec_ny_all_status.json status E; 2 stations lack open_date,-14.0,0.8585858585858586,D
2019,New York State,private,L2 ports,241.0,353,data/raw/afdc/afdc_elec_ny_all_status.json status E; 2 stations lack open_date,112.0,1.4647302904564314,D
2019,New York State,private,DCFC ports,1.0,1,data/raw/afdc/afdc_elec_ny_all_status.json status E; 2 stations lack open_date,0.0,1.0,D
2020,New York State,private,stations,157.0,120,data/raw/afdc/afdc_elec_ny_all_status.json status E; 2 stations lack open_date,-37.0,0.7643312101910829,D
2020,New York State,private,L2 ports,552.0,508,data/raw/afdc/afdc_elec_ny_all_status.json status E; 2 stations lack open_date,-44.0,0.9202898550724637,D
2020,New York State,private,DCFC ports,19.0,19,data/raw/afdc/afdc_elec_ny_all_status.json status E; 2 stations lack open_date,0.0,1.0,D
