id,station_name,street_address,city,zip,status_code,access_code,access_detail_code,facility_type,owner_type_code,ev_network,ev_level1_evse_num,ev_level2_evse_num,ev_dc_fast_num,ports_total,ev_connector_types,ev_pricing,ev_workplace_charging,open_date,date_last_confirmed,updated_at,latitude,longitude,COUNTYFP
384287,INHS VILLAGE GROVE 5,15 cresent way,Trumansburg,14886,E,public,,,,ChargePoint Network,0,1,0,1,['J1772'],,False,2025-02-14,2026-09-14,2026-09-14T02:47:34Z,42.535956,-76.66129,109
384288,INHS VILLAGE GROVE 4,15 crescent way,Trumansburg,14886,E,public,,,,ChargePoint Network,0,1,0,1,['J1772'],,False,2025-02-14,2026-09-14,2026-09-14T02:47:34Z,42.535956,-76.66129,109
384289,INHS VILLAGE GROVE 1,15 crescent way,Trumansburg,14886,E,public,,,,ChargePoint Network,0,1,0,1,['J1772'],,False,2025-02-14,2026-09-14,2026-09-14T02:47:35Z,42.535956,-76.66129,109
398514,Ithaca College - Athletic Center,953 Danby Rd,Ithaca,14850,E,public,,,,VIALYNK,0,0,4,4,['J1772COMBO'],,False,2025-06-18,2026-09-14,2026-09-14T04:44:45Z,42.4218,-76.48974,109
420749,ORLY ITHACA 1,710 S Meadow St,Ithaca,14850,E,public,,,,ChargePoint Network,0,1,0,1,['J1772'],,False,2025-08-23,2026-09-14,2026-09-14T02:57:26Z,42.43202,-76.510345,109
420750,ORLY ITHACA 3,710 S Meadow St,Ithaca,14850,E,public,,,,ChargePoint Network,0,1,0,1,['J1772'],,False,2025-08-23,2026-09-14,2026-09-14T02:57:26Z,42.43202,-76.510345,109
429747,Chrysler L2s,318 Elmira Rd.,Ithaca,14850,E,public,,,,FLIPTURN,0,2,0,2,['J1772'],,False,2025-10-10,2026-09-14,2026-09-14T05:28:35Z,42.427557,-76.510253,109
439836,Springwater Inn,1083 Dryden Rd,Ithaca,14850,E,public,,,,CHARGESMART_EV,0,4,0,4,['J1772'],,False,2025-11-06,2026-09-14,2026-09-14T04:48:35Z,42.459389,-76.428212,109
440986,Chrysler L3s,318 Elmira Rd.,Ithaca,14850,E,public,,,,FLIPTURN,0,0,2,2,['J1772COMBO'],,False,2025-11-12,2026-09-14,2026-09-14T05:28:31Z,42.427557,-76.510253,109
447078,Village Hall,9 Elm St,Trumansburg,14886,E,public,,MUNI_GOV,LG,AUTEL,0,2,2,4,"['J1772', 'J1772COMBO']",$0.45 per kWh,False,2025-09-12,,2026-01-14T16:55:25Z,42.54118,-76.66079,109
449494,Parking Lot DCFC,1 Corey Street,Trumansburg,14886,E,public,,REC_SPORTS_FACILITY,,EVOKE,0,0,2,2,['J1772COMBO'],,False,2025-09-11,2026-09-14,2026-09-14T05:45:02Z,42.5422159,-76.6663553,109
452497,308 Main Street,308 Main Street,Groton,13073,E,public,,,,SYNERGEV,0,2,0,2,['J1772'],,False,2026-03-04,2026-09-14,2026-09-14T05:36:49Z,42.585743,-76.366351,109
455979,Honda L2's,315 Elmira Road,Ithaca,14850,E,public,,,,FLIPTURN,0,1,0,1,['J1772'],,False,2026-03-20,2026-09-14,2026-09-14T05:28:33Z,42.426586,-76.509697,109
455980,Imports L2s,370 Elmira Road,Ithaca,14850,E,public,,,,FLIPTURN,0,1,0,1,['J1772'],,False,2026-03-20,2026-09-14,2026-09-14T05:28:33Z,42.422621,-76.518203,109
455981,Chevrolet Cadillac L3s,35 Cinema Drive,Ithaca,14850,E,public,,,,FLIPTURN,0,0,3,3,['J1772COMBO'],,False,2026-03-20,2026-09-14,2026-09-14T05:28:33Z,42.480627,-76.47778,109
455982,Ford Ithaca L3s,504 S Meadow St,Ithaca,14850,E,public,,,,FLIPTURN,0,0,4,4,['J1772COMBO'],,False,2026-03-20,2026-09-14,2026-09-14T05:28:31Z,42.434927,-76.508808,109
455983,Ford Ithaca L2s,504 S Meadow St,Ithaca,14850,E,public,,,,FLIPTURN,0,4,0,4,['J1772'],,False,2026-03-20,2026-09-14,2026-09-14T05:28:34Z,42.434927,-76.508808,109
455985,Chevy of Trumansburg L3's,"2073 State Route 96,",Trumansburg,14886,E,public,,,,FLIPTURN,0,0,2,2,['J1772COMBO'],,False,2026-03-20,2026-09-14,2026-09-14T05:28:36Z,42.532736,-76.638575,109
456594,HOUSE OF ALPHA STATION 1,105 Westbourne Ln,Ithaca,14850,E,public,,,,ChargePoint Network,0,2,0,2,['J1772'],,False,2026-03-29,2026-09-14,2026-09-14T03:00:51Z,42.456022,-76.486553,109
456595,HOUSE OF ALPHA STATION 2,105 Westbourne Ln,Ithaca,14850,E,public,,,,ChargePoint Network,0,2,0,2,['J1772'],,False,2026-03-29,2026-09-14,2026-09-14T03:00:52Z,42.456053,-76.486703,109
458593,ORLY ITHACA 2,710 S Meadow St,Ithaca,14850,E,public,,,,ChargePoint Network,0,1,0,1,['J1772'],,False,2026-05-02,2026-09-14,2026-09-14T02:57:26Z,42.43202,-76.510345,109
458594,ORLY ITHACA 4,710 S Meadow St,Ithaca,14850,E,public,,,,ChargePoint Network,0,1,0,1,['J1772'],,False,2026-05-02,2026-09-14,2026-09-14T02:57:26Z,42.43202,-76.510345,109
