parcel,E_ev,peak_kw_p50,peak_kw_p90,prob_any_ev_charging
50070001200000030060000000,0.259,0.0,7.2,0.2
50070001200000030070000000,0.336,0.0,7.2,0.3
50070001200000030080000000,0.092,0.0,0.28,0.1
50070001200000030120000000,0.28,0.0,2.88,0.167
50070001200000030130000000,0.116,0.0,0.14,0.1
50070001200000030140000000,0.084,0.0,0.0,0.067
50070001200000030150000000,0.247,0.0,2.8,0.267
50070001200000030160000000,0.085,0.0,0.0,0.033
50070001200000040010000000,0.045,0.0,0.0,0.033
50070001200000040020000000,0.107,0.0,0.28,0.1
50070001200000040030000000,0.146,0.0,0.36,0.1
50070001200000040040000000,0.197,0.0,0.28,0.1
50070001200000040050000000,0.116,0.0,0.0,0.0
50070001200000040060000000,0.0,0.0,0.0,0.0
50070001200000040070000000,0.146,0.0,0.0,0.067
50070001200000040080000000,0.158,0.0,7.2,0.167
50070001200000040090000000,0.146,0.0,0.28,0.1
50070001200000040100000000,0.045,0.0,0.0,0.033
50070001200000040110000000,0.168,0.0,7.2,0.267
50070001200000050010000000,0.151,0.0,7.2,0.167
50070001200000050020000000,0.156,0.0,3.96,0.167
50070001200000050040000000,0.131,0.0,0.0,0.033
50070001200000050060000000,0.0,0.0,0.0,0.0
50070001200000050080000000,0.189,0.0,7.2,0.133
50070001200000050090000000,0.13,0.0,0.0,0.033
50070001200000050100000000,0.277,0.0,7.2,0.333
50070001200000050110000000,0.12,0.0,0.0,0.033
50070001200000060010000000,0.204,0.0,0.0,0.067
50070001200000060020000000,0.177,0.0,7.2,0.3
50070001200000060030000000,0.195,0.0,1.524,0.133
50070001200000060040000000,0.084,0.0,0.0,0.067
50070001200000060050000000,0.151,0.0,0.14,0.1
50070001200000060060000000,0.28,0.0,2.8,0.133
50070001200000060070000000,0.049,0.0,0.0,0.0
50070001200000060080000000,0.054,0.0,0.0,0.033
50070001200000060090000000,0.145,0.0,0.0,0.0
50070001200000060100000000,0.131,0.0,0.0,0.033
50070001200000060110000000,0.097,0.0,3.24,0.167
50070001200000060120000000,0.097,0.0,0.0,0.033
50070001200000060130010000,0.045,0.0,0.0,0.033
50070001200000060130020000,0.106,0.0,0.0,0.0
50070001200000060140000000,0.195,0.0,3.96,0.2
50070001200000060150000000,0.107,0.0,2.88,0.2
50070001200000080010000000,0.321,0.0,0.28,0.1
50070001300000010050000000,0.265,0.0,7.2,0.233
50070001300000010060000000,0.053,0.0,0.0,0.033
50070001300000010080000000,0.0,0.0,0.0,0.0
50070001300000010090000000,0.168,0.0,2.8,0.167
50070001300000010100000000,0.097,0.0,0.0,0.067
50070001300000010110000000,0.156,0.0,3.24,0.167
50070001300000010120000000,0.082,0.0,0.0,0.0
50070001300000010130010000,0.092,0.0,0.0,0.033
50070001300000010130020000,0.168,0.0,0.28,0.1
50070001300000010140000000,0.059,0.0,0.0,0.067
50070001300000020030000000,0.343,0.0,2.88,0.3
50070001300000020040000000,0.157,0.0,2.8,0.133
50070001300000020050000000,0.274,0.0,1.54,0.167
50070001300000020060000000,0.168,0.0,2.8,0.167
50070001300000020100000000,0.059,0.0,0.0,0.067
50070001300000020110000000,0.156,0.0,0.0,0.033
50070001300000020120000000,0.216,0.0,2.88,0.167
50070001300000020130000000,0.259,0.0,7.2,0.233
50070001300000020140000000,0.336,0.0,3.24,0.233
50070001300000020150000000,0.244,0.0,4.033,0.2
50070001300000020170000000,0.127,0.0,3.033,0.167
50070001300000020180000000,0.049,0.0,0.0,0.033
50070001300000020200010000,0.169,0.0,0.0,0.033
50070001300000020200020000,0.216,0.0,3.96,0.2
50070001300000030010000000,0.059,0.0,0.28,0.1
50070001300000030020000000,0.108,0.0,0.0,0.067
50070001300000030030000000,0.099,0.0,0.0,0.033
50070001300000030040000000,0.151,0.0,0.0,0.033
50070001300000030050000000,0.265,0.0,7.34,0.267
50070001300000030060000000,0.084,0.0,0.0,0.0
50070001300000030070000000,0.236,0.0,7.2,0.267
50070001300000030080000000,0.156,0.0,2.8,0.2
50070001300000030090000000,0.216,0.0,2.8,0.167
50070001300000030100000000,0.201,0.0,2.88,0.167
50070001300000030110000000,0.0,0.0,0.0,0.0
50070001300000030120000000,0.053,0.0,0.0,0.0
50070001300000030130000000,0.067,0.0,0.0,0.033
50070001300000030140000000,0.049,0.0,0.0,0.033
50070001300000030150000000,0.049,0.0,0.28,0.1
