site_type,site_id,name,lat,lon,ports_2026,ports_scaled,annual_kwh,peak_kw,kwh_per_port_day
workplace_unlisted_parcel,parcel_50200003100000010010050000,670,42.327,-76.319,,,2765.096,2.56,
workplace_unlisted_parcel,parcel_50300101400000060010000000,613,42.458,-76.484,,,1190.53,1.102,
workplace_unlisted_parcel,parcel_50300101400000040020020000,613,42.459,-76.479,,,4462.576,4.131,
workplace_unlisted_parcel,parcel_50300100900000060010000000,612,42.466,-76.489,,,2295.217,2.125,
workplace_unlisted_parcel,parcel_50300101000000040010020000,452,42.469,-76.48,,,2401.157,2.223,
workplace_unlisted_parcel,parcel_50300101000000040010020002,465,42.469,-76.48,,,1314.936,1.217,
workplace_unlisted_parcel,parcel_50300100500000030180010000,464,42.47,-76.478,,,1025.231,0.949,
workplace_unlisted_parcel,parcel_50300100300000010010000000,633,42.475,-76.486,,,16978.904,15.717,
workplace_unlisted_parcel,parcel_50220000900000010090120000,464,42.358,-76.512,,,1007.885,0.933,
workplace_unlisted_parcel,parcel_50220001000000010050000000,614,42.359,-76.49,,,1149.683,1.064,
workplace_unlisted_parcel,parcel_50220000200000010350110000,442,42.384,-76.492,,,1342.634,1.243,
workplace_unlisted_parcel,parcel_50220000100000010250010000,710,42.381,-76.51,,,3422.844,3.168,
workplace_unlisted_parcel,parcel_50248907300000020040020000,714,42.403,-76.422,,,1121.379,1.038,
workplace_unlisted_parcel,parcel_50248905400000010090050000,440,42.461,-76.421,,,978.648,0.906,
workplace_unlisted_parcel,parcel_50248905200000010040320000,710,42.471,-76.41,,,9513.61,8.806,
workplace_unlisted_parcel,parcel_50248905200000010041110000,440,42.472,-76.408,,,1549.48,1.434,
workplace_unlisted_parcel,parcel_50248905200000010080050000,442,42.472,-76.403,,,1913.372,1.771,
workplace_unlisted_parcel,parcel_50248905200000010080020000,442,42.471,-76.401,,,2238.189,2.072,
workplace_unlisted_parcel,parcel_50248904200000010350020000,442,42.473,-76.424,,,2005.977,1.857,
workplace_unlisted_parcel,parcel_50248904200000010350030000,440,42.474,-76.425,,,1142.409,1.057,
workplace_unlisted_parcel,parcel_50248904200000010310060000,710,42.474,-76.428,,,2262.25,2.094,
workplace_unlisted_parcel,parcel_50248904200000010310030000,661,42.475,-76.428,,,1469.371,1.36,
workplace_unlisted_parcel,parcel_50248904300000010290060000,440,42.475,-76.433,,,944.236,0.874,
workplace_unlisted_parcel,parcel_50248904300000010330020000,642,42.477,-76.432,,,1165.77,1.079,
workplace_unlisted_parcel,parcel_50248904300000010331210000,442,42.477,-76.435,,,3063.522,2.836,
workplace_unlisted_parcel,parcel_50248903900000010010000000,712,42.497,-76.372,,,2797.737,2.59,
workplace_unlisted_parcel,parcel_50248903400000020030030000,449,42.505,-76.359,,,1390.289,1.287,
workplace_unlisted_parcel,parcel_50248903700000010100120000,613,42.499,-76.282,,,7776.029,7.198,
workplace_unlisted_parcel,parcel_50248903700000010080030000,613,42.501,-76.288,,,13016.19,12.049,
workplace_unlisted_parcel,parcel_50248903700000010101120000,613,42.5,-76.285,,,2976.046,2.755,
workplace_unlisted_parcel,parcel_50248903700000010101110000,613,42.5,-76.286,,,2987.796,2.766,
workplace_unlisted_parcel,parcel_50248903800000010260000000,612,42.502,-76.309,,,8787.318,8.134,
workplace_unlisted_parcel,parcel_50248903900000010220020000,449,42.5,-76.349,,,1029.567,0.953,
workplace_unlisted_parcel,parcel_50248903900000010220050000,440,42.497,-76.349,,,944.143,0.874,
workplace_unlisted_parcel,parcel_50240100800100010020000000,464,42.5,-76.3,,,1458.833,1.35,
workplace_unlisted_parcel,parcel_50240101100000010080070000,449,42.491,-76.292,,,961.862,0.89,
workplace_unlisted_parcel,parcel_50240101600000020010000000,612,42.488,-76.292,,,5544.881,5.133,
workplace_unlisted_parcel,parcel_50240101100000010090000000,651,42.492,-76.29,,,1193.701,1.105,
workplace_unlisted_parcel,parcel_50240101200000040010010000,633,42.492,-76.295,,,1838.579,1.702,
workplace_unlisted_parcel,parcel_50240100900000010060000000,452,42.495,-76.299,,,1071.533,0.992,
workplace_unlisted_parcel,parcel_50240101300000010110020000,710,42.492,-76.304,,,1128.42,1.045,
workplace_unlisted_parcel,parcel_50260000400000020070040000,710,42.461,-76.574,,,2011.619,1.862,
workplace_unlisted_parcel,parcel_50260001400000020020080000,651,42.418,-76.623,,,1142.223,1.057,
workplace_unlisted_parcel,parcel_50260000800000010100000000,612,42.449,-76.632,,,1989.331,1.841,
workplace_unlisted_parcel,parcel_50240300400000050110110000,633,42.515,-76.344,,,1103.334,1.021,
workplace_unlisted_parcel,parcel_50288903500000010250020000,442,42.552,-76.403,,,1510.778,1.398,
workplace_unlisted_parcel,parcel_50280130800000010030010000,455,42.589,-76.348,,,1908.989,1.767,
workplace_unlisted_parcel,parcel_50280130800000010010010000,715,42.591,-76.35,,,945.868,0.876,
workplace_unlisted_parcel,parcel_50280130800000010010030000,440,42.59,-76.352,,,1563.189,1.447,
workplace_unlisted_parcel,parcel_50280110800000020370000000,612,42.584,-76.359,,,4655.9,4.31,
workplace_unlisted_parcel,parcel_50280100700000020250040000,633,42.585,-76.368,,,2239.122,2.073,
workplace_unlisted_parcel,parcel_50280100700000020250030000,633,42.585,-76.369,,,1617.185,1.497,
workplace_unlisted_parcel,parcel_50280101100000010010020000,612,42.58,-76.371,,,6580.883,6.092,
workplace_unlisted_parcel,parcel_50280100600000010310000000,652,42.59,-76.37,,,1111.634,1.029,
workplace_unlisted_parcel,parcel_50280100500000010020000000,444,42.592,-76.369,,,953.329,0.882,
workplace_unlisted_parcel,parcel_50070013000000040050000000,690,42.419,-76.518,,,2004.112,1.855,
workplace_unlisted_parcel,parcel_50070013000000030010000000,456,42.42,-76.519,,,1002.522,0.928,
workplace_unlisted_parcel,parcel_50070012800000010060010000,452,42.421,-76.519,,,2312.05,2.14,
workplace_unlisted_parcel,parcel_50070012900000010100020000,414,42.422,-76.516,,,2637.986,2.442,
workplace_unlisted_parcel,parcel_50070008500000050010000000,612,42.437,-76.478,,,1374.108,1.272,
workplace_unlisted_parcel,parcel_50070006300000050070000000,437,42.442,-76.486,,,3357.284,3.108,
